,날짜,기사 제목,기사 링크,기사 출처,기사 내용
0,2012-07-08,도서관 웨딩마치…허례허식 뺀 의미있는 결혼식,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=055&aid=0000231121,SBS,"<앵커>요즘 돈이 없어 결혼도 못한다고 할 만큼 결혼 한 번 하려면 어마어마한 돈이 들죠? 국립중앙도서관에서 하는 결혼식은 어떨까요? 장소 빌리는 값이 6만 원입니다.권란 기자입니다.<기자>화동을 앞세우고 부부가 되는 첫걸음을 내딛습니다.주인공은 49살 늦깎이 동갑내기 신혼부부 정오준, 홍성숙 씨.국립중앙도서관이 결혼식장으로 개방된 뒤 탄생하는 첫 번째 부부입니다.직접 주례에 나선 문화체육관광부 장관은 부부에게 책을 선물로 나눠주고, 옛 고전을 인용한 주례사를 들려줍니다.[최광식/문화체육관광부 장관·주례 : 서로의 부족한 부분을 지혜롭게 채워주라는 의미로 팔만대장경에는 '이상적인 결혼은 눈먼 배우자와 귀머거리의 결혼이다'라는 이런 얘기가 있습니다.]국립중앙도서관은 이번 달부터 200석 규모의 국제회의장을 결혼식장으로 개방했습니다.장소 빌리는 데는 6만 원, 다른 곳보다 훨씬 저렴한데다 남다른 의미도 있어서 올해에만 19쌍의 예비부부가 예약했습니다.[정오준/신랑 : 이제 흰 머리가 희끗희끗 해지더라도 도서관에 손잡고 다니면서 책을 같이 읽을 수 있는…][김대희/하객 : 저희 아이가 나중에 결혼을 해도 그런 형식적인 곳보다는 자연스럽고, 도서관이란 곳은 학구적인 느낌도 있고…]허례허식으로 물든 결혼 문화 속에 도서관 결혼식은 사랑과 결혼의 참뜻을 일깨워주고 있습니다.(영상취재 : 임우식, 영상편집 : 박정삼)권란 기자harasho@sbs.co.kr관/련/정/보◆ '5월의 신부' 옛 말…여름 결혼식 증가, 왜?◆ [세 여자의 웨딩드레스] ④ 영화처럼 결혼하는 법에 대하여◆ 현장21, ‘치솟는 결혼식 비용의 진실’ 공개☞[SBS기자들의 생생한 취재현장 뒷이야기 '취재파일']☞ SBS뉴스 공식 SNS [SBS8News 트위터] [페이스북] [미투데이] [요즘]저작권자 SBS&SBS콘텐츠허브 무단복제-재배포 금지"
1,2012-07-08,3년 된 식품이 그대로…'창고' 돼버린 냉장고,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000231127,SBS,"<앵커>냉장고 청소 한 번 하면 유통기한 지난 음식 참 많이 나옵니다. 환경부가 조사해봤더니 몇 개월은 기본이고, 3년이 지난 식품까지 쏟아져 나왔는데 창고가 된 냉장고, 그냥 웃고 넘어갈 일만은 아닙니다.보도에 곽상은 기자입니다.<기자>결혼 15년차, 40대 전업주부의 냉장고를 열어봤습니다.음식물로 가득 찬 냉장고 곳곳에서 오랫동안 처박혀 있던 식품들이 잇따라 발견됩니다.[이기연/15년 차 가정주부 : ((이 치즈) 유통기한이?) 표시는 안 돼 있는데요, 이게 큰 덩어리로 사다보니까… 먹다가 거의 2년 가까이 된 것 같아요.]1년전 구입했지만 1/4도 채 먹지 못한 케첩과 소스, 2년된 치즈, 심지어 3년 지난 새우젓까지 적정 보존기간을 넘긴 식품들이 줄줄이 없이 나옵니다.이 생닭의 경우 포장도 뜯지 않은 상태에서 방치돼다 유통기한을 넘겨 버렸습니다.이번엔 22년차 베테랑 주부의 냉장고를 열어봤습니다.사정은 역시 마찬가지입니다.[남진숙 : (이건 2010년 (어묵이네요) 이거 그 정도 (오래 전에) 산 게 아닌데… 그렇게 오래 됐나요, 그게?]이미 냉장고에 있는데도 모르고 또 샀다가 둘다 유통기한을 넘긴 가공식품들도 허다합니다.[남진숙/22년 차 가정주부 : 몰랐어요, 두 개인 줄… 이 나이 돼 봐요. 자꾸 깜빡깜빡 하거든요.]이때문에 각 가정의 냉장고에서 쓰레기통으로 직행하는 음식물이 적지 않은 실정입니다.환경부 조사 결과 채소류는 12.5%, 과일류는 5.7%, 냉동식품류는 4.1%가 적정 보존기한을 넘긴 뒤 그냥 버려지고 있었습니다.싸다고 한꺼번에 많은 양을 구입한게 가장 큰 이유입니다.유통기한을 제대로 파악 못한 채 그냥 시한을 넘겨버린 탓도 컸습니다.전문가들은 4-5도로 냉장 보관할 경우 결코 안심할 수 없다고 지적합니다.[이선영/중앙대학교 식품영양학과 교수 : 저온성 세균은 냉장고 온도에서 생장할 수 있습니다. 리스테리아균이 대표적인 세균인데요. 이런 균에 오염된 식품을 장시간 보관할 경우 식중독을 일으킬 수 있습니다.]낭비 없는 음식 문화를 위해선 주부들의 경우 구매날짜와 유통기한을 꼼꼼하게 정리해놓는 습관이 필요합니다.또 소비자들이 그때 그때 필요한 양만큼만 구입할 수 있도록, 유통업체도 포장 단위를 줄인 소포장 식품판매를 늘려가야 한다는 지적입니다.(영상취재 : 조춘동, 영상편집 : 최혜영)곽상은 기자2bwithu@sbs.co.kr관/련/정/보◆ 일반 가정, 냉장고에 평균 34지 음식물 보관◆ 생면 유통기한 9일 후 급격히 변질…곰팡이 검출◆ 너도나도 '에너지 1등급' 냉장고, 이유 있었네◆ 화성 유치원서 유통기한 지난 재료사용…복통 호소☞[SBS기자들의 생생한 취재현장 뒷이야기 '취재파일']☞ SBS뉴스 공식 SNS [SBS8News 트위터] [페이스북] [미투데이] [요즘]저작권자 SBS&SBS콘텐츠허브 무단복제-재배포 금지"
2,2012-07-08,[현장] 비공개 민원 제기했다가 '공개 망신',https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000231132,SBS,"<앵커>지자체에 비공개로 민원을 제기했는데, 자신의 이름이 만천하에 공개된다면 기분이 어떨까요? 경기도 김포에서 한 시민이 광역버스 입석 문제를 지적했다가 버스마다 자신의 이름이 붙어있는 걸 보게됐습니다.어떻게 된 일인지, 김수영 기자가 취재했습니다.<기자>경기도 김포 한강신도시에서 서울로 출근하는 윤 모 씨.윤 씨는 지난 달 26일 김포 시청에 타고 다니던 광역급행버스의 입석 문제를 지적하는 비공개 민원을 제기했습니다.안전 문제 때문에 광역급행버스는 입석이 금지돼 있는데도 공공연하게 이뤄지고 있다며 행정 조치를 요구한 겁니다.그런데 다음 날 출근길에 윤 씨는 황당한 일을 겪었습니다.버스 출입구 쪽에 자신의 이름이 적힌 게시물이 붙어 있었습니다.버스회사가 윤 씨 이름을 직접 언급하며 민원 때문에 더 이상 입석이 불가능하다는 공고문을 붙인 겁니다.[윤 모 씨/피해자 : 참 황당했죠. 동네방네 마녀사냥식으로 제 이름이 만천하에 다 공개되는 거잖습니까…]바로 항의해 문제가 된 게시물을 뗐지만, 이미 출근길 주민 대부분이 해당 게시물을 본 뒤였습니다.김포시청 측은 버스 회사에 바로 시정 명령을 내렸지만 민원인 실명을 알려주진 않았다고 말했습니다.[김포시청 관계자 : 까마귀 날자 배 떨어진다고 민원인이 오해한 것은 시에서 정보가 나갔다는 건데 우리가 알아본 결과는 그렇지 않습니다.]버스회사 측은 입석을 허용하라는 주민 요구도 만만치 않은 상황에서 시청의 지적을 받자, 우발적으로 벌인 일이라고 해명했습니다.윤 씨는 시청과 버스 회사를 명예훼손 등의 혐의로 경찰에 고소했습니다.(영상취재 : 배문산, 홍종수, 공진구, 영상편집 : 이정택)김수영 기자swim@sbs.co.kr관/련/정/보◆ 서울시 스마트폰 민원시스템 연내 첫선◆ 120다산콜센터 악성민원인 법적조치 추진◆ 센터 대신 인터넷…'민원24' 가입 1천만명 돌파◆ 권익위 '콘텐츠 민원도 국민신문고에서 접수'◆ 어선변경 등록 등 민원절차 간편해진다☞[SBS기자들의 생생한 취재현장 뒷이야기 '취재파일']☞ SBS뉴스 공식 SNS [SBS8News 트위터] [페이스북] [미투데이] [요즘]저작권자 SBS&SBS콘텐츠허브 무단복제-재배포 금지"
3,2012-07-08,[포토] 눈 감고 우유 먹는 `새끼 사자`,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=018&aid=0002625207,이데일리,"중국 선양동물원에서 태어난 새끼 사자 (Xinhua/Pan Yulong) (zgp)[이데일리 김민화 리포터] 중국 랴오닝 성의 수도 선양의 선양동물원에서 6마리 새끼 사자가 태어났다. 10살짜리 어미에게서 태어난 이 새끼 사자들은 건강상태가 좋은 편이며 오는 8월부터 방문객에 공개될 예정이다.김민화 (minaya@edaily.co.kr)[관련기사]▶ ☞지구촌 동물 스타 사진 더보기▶ ☞[포토]멸종위기 동물 희귀 장면 포착 `키스?`▶ ☞[포토]`애완동물 패션쇼` 오늘 신경좀 썼어요~▶ ☞[포토]`애완동물 패션쇼` 내가 일등이야!▶ ☞[포토]`상파울루 애완동물 패션쇼` 제가 제일 예쁘죠?▶ 당신의 생활 속 언제 어디서나 이데일리 ‘신문 PDF바로보기‘▶ 스마트 경제종합방송이데일리 TV▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’▶ 증권전문가방송 '이데일리 ON', 고객상담센터 1666-2200 |종목진단/추천 신규오픈＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
4,2012-07-08,경남 사천서 위그선 추락..4명 사상(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005685134,연합뉴스,"경남 사천서 위그선 추락..4명 사상    (사천=연합뉴스) 9일 오전 11시30분께 경남 사천시 진주만 향기도 남동쪽 1.2마일 해상에서 위그선 1척이 해상으로 추락했다. 이 사고로 위그선에 타고 있던 4명 중에서 1명이 숨지고 나머지 3명이 중경상을 입어 인근 병원에서 치료를 받고 있다. 2012.7.8 <<지방기사 참고, 통영해경>>    pitbull@yna.co.kr(사천=연합뉴스) 김재홍 기자 = 8일 오전 11시30분께 경남 사천시 진주만 향기도 남동쪽 1.2마일 해상에서 소형 위그선 1척이 해상으로 추락했다.'바다의 KTX'로 불리는 위그선은 물 위를 1∼5m 높이에서 이동하는 해상교통 수단이다.이 사고로 위그선에 타고 있던 4명 중에서 한국인 조종사 이모(46ㆍ경기도 화성)씨가 숨지고 아랍에미리트, 싱가포르, 미국 등 외국인 기술자 3명이 중경상을 입어 인근 병원에서 치료를 받고 있다.사고 위그선은 이날 11시20분께 사천시 송포동에서 시운전을 위해 출항, 사고 해역에서 연락이 두절됐다.위그선 탑승자들은 비상 상황에 대비해 인근에 대기하던 구조용 보트에 의해 구조됐다.사고가 나자 해경은 현장으로 경비함정 2척, 122구조대 등을 보내 구조작업을 벌였다.사고 위그선은 250마력 엔진을 장착했으며 무게 2.4t, 길이 10.1ｍ 규모로 탑승 정원은 4명이다.해경은 현장에서 위그선을 인양해 오후 5시 현재 사천항으로 향하고 있다.경남 사천서 위그선 추락..4명 사상    (사천=연합뉴스) 9일 오전 11시30분께 경남 사천시 진주만 향기도 남동쪽 1.2마일 해상에서 위그선 1척이 해상으로 추락했다. 이 사고로 위그선에 타고 있던 4명 중에서 1명이 숨지고 나머지 3명이 중경상을 입어 인근 병원에서 치료를 받고 있다. 2012.7.8 <<지방기사 참고, 통영해경>>    pitbull@yna.co.kr해경은 ""위그선이 해상에서 보이지 않아 연락을 취했는데도 답이 없어 가보니 바다에 빠져있었다""는 현장 관계자들의 진술을 참고로 정확한 사고 경위를 조사하고 있다.pitbull@yna.co.kr[이 시각 많이 본 기사]☞내년 하반기 울산서 고래잡이 재개 가능성☞<한류스타 장근석, 아시아를 감전시키다>☞<금강산관광 중단 4년..벼랑끝 영세업체들>☞-US여자오픈골프- 최나연, 메이저 우승 눈앞(종합)☞방북 노수희씨·범민련 간부 구속영장 발부<연합뉴스 모바일앱 다운받기><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
5,2012-07-08,홍천 34.1도 무더위..동해안 피서객 '북적'(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005685172,연합뉴스,"개장 이후 첫 휴일..피서객 몰린 속초해수욕장(속초=연합뉴스) 이종건 기자 = 개장 이후 첫 휴일을 맞은 속초해수욕장에서 8일 많은 피서객이 물놀이를 즐기고 있다. 속초해수욕장은 지난 2일 강원 지역 해수욕장 가운데 가장 먼저 문을 열었다. 동해안 나머지 90개 해수욕장은 오는 13일 일제히 문을 연다. 2012.7.8    momo@yna.co.kr    http://blog.yonhapnews.co.kr/misonews/(춘천=연합뉴스) 이재현 기자 = 8일 강원지역은 장마전선이 물러가고 무더운 날씨가 이어진 가운데 동해안 해변과 유원지에는 많은 인파가 몰려 더위를 식혔다.지난 2일 동해안 해변 중 가장 먼저 개장한 속초해수욕장에는 이날 2만2천여명의 피서객이 찾아와 바닷물에 몸을 담그며 휴일을 즐겼다.오는 13일 개장하는 강릉 경포해수욕장 등 동해안 주요 해수욕장에도 많은 행락객이 몰려와 더위를 식혔다.국립공원 설악산에는 이날 전국에서 6천여명이 찾았으며 국립공원 평창 오대산과 원주 치악산 등에도 각각 5천여명과 4천여명이 산행에 나섰다.개장 이후 첫 휴일..피서객 몰린 속초해수욕장(속초=연합뉴스) 이종건 기자 = 개장 이후 첫 휴일을 맞은 속초해수욕장에서 8일 많은 피서객이 물놀이를 즐기고 있다. 속초해수욕장은 지난 2일 강원 지역 해수욕장 가운데 가장 먼저 문을 열었다. 동해안 나머지 90개 해수욕장은 오는 13일 일제히 문을 연다. 2012.7.8    momo@yna.co.kr    http://blog.yonhapnews.co.kr/misonews/춘천 삼악산과 남이섬, 공지천, 홍천 팔봉산 등에는 연인과 가족을 동반한 행락객이 찾아와 휴일을 만끽했다.오후 들어 귀경차량이 늘면서 서울~양양고속도로 상행선 남춘천~강촌 11㎞와 가평휴게소~서종 21㎞ 구간에서 지정체 현상을 빚고 있다.영동고속도로 인천방면 강천터널~이천 24㎞와 면온~둔내터널 4㎞ 구간에서도 답답한 흐름이 이어지고 있다.한편 이날 낮 최고 기온은 홍천이 영상 34.1도를 기록한 것을 비롯해 원주 32.6도, 춘천 32.8도, 영월 32.3도, 강릉 29.7도, 속초 25.3도 등다.jlee@yna.co.kr개장 이후 첫 휴일..피서객 몰린 속초해수욕장(속초=연합뉴스) 이종건 기자 = 개장 이후 첫 휴일을 맞은 속초해수욕장에서 8일 많은 피서객이 물놀이를 즐기고 있다. 속초해수욕장은 지난 2일 강원 지역 해수욕장 가운데 가장 먼저 문을 열었다. 동해안 나머지 90개 해수욕장은 오는 13일 일제히 문을 연다. 2012.7.8    momo@yna.co.kr    http://blog.yonhapnews.co.kr/misonews/[이 시각 많이 본 기사]☞내년 하반기 울산서 고래잡이 재개 가능성☞<한류스타 장근석, 아시아를 감전시키다>☞<금강산관광 중단 4년..벼랑끝 영세업체들>☞-US여자오픈골프- 최나연, 메이저 우승 눈앞(종합)☞방북 노수희씨·범민련 간부 구속영장 발부<연합뉴스 모바일앱 다운받기><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
6,2012-07-08,꺼져버린 올림픽 성화,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=052&aid=0000414712,YTN,"[앵커멘트]런던 올림픽을 앞두고 영국에서는 성화 봉송이 진행되고 있는데요.물 위에서 성화가 꺼지는 소동이 벌어졌습니다.중국에서는 눈을 가리고 뒤로 외줄타기를 하던 사람이 추락하는 일도 있었습니다.지구촌 이모저모 김수진 기자가 전합니다.[리포트]환호성과 함께 기세 좋게 노젓기를 시작한 성화 봉송단.엘리베이터로 래프팅 코스까지 배가 이동할 때까지만 해도 모두들 여유만만해 보입니다.하지만 첫 번째 급류를 만나자마자 물을 뒤집어쓰면서 성화가 힘없이 꺼져버렸습니다.급히 램프에서 옮겨온 불씨로 불꽃을 되살리고서야 올림픽 성화의 체면을 차렸습니다.보기만 해도 아찔한 계곡 사이에 걸린 외줄을, 눈까지 가린 채 뒷걸음쳐 건넙니다.발을 헛디뎌 주저 앉는 순간, 구경꾼들도 조마조마합니다.외줄의 높이는 최고 200m.아래는 호수인데 아무런 안전 장치도 없습니다.700m 길이의 외줄을 거의 다 건넜을 즈음 떨어지고 맙니다.다행히 거의 목적지에 다 와서 떨어진 덕분에 줄타기 명인은 큰 부상도 없이 목숨을 건졌습니다.만화 캐릭터 복장을 한 남편이 아내를 업고 열심히 달립니다.물을 건너고,  장애물을 넘어 달리는 동안 아내들도 두 다리로 잘 버텨야 합니다.이번 대회도 헬싱키에서 온 변호사 부부가 무려 4연속 우승을 차지했습니다.[인터뷰:타이스토·크리스티나, 아내업고 달리기 우승팀]""우리가 이 대회 왕과 왕비다!""관례에 따라 이 부부는 아내의 몸무게만큼의 맥주를 부상으로 받았습니다.YTN 김수진입니다.[주요뉴스]▶ 쓰레기 더미 속 발견된 시신, 알고보니…'경악'▶ 박근혜 전 위원장, 10일 출마 선언...김두관 지사, 오늘 출정식▶ 꺼지지 않는 '대선자금 수사' 불씨▶ 北 김정은, 옆자리 앉은 미모의 女 누구?▶ 수험생을 위한 여름방학 학습법은?☞ [다운로드] 생방송과 뉴스속보를 한 눈에...YTN뉴스ON☞ YTN 긴급속보를 SMS로!☞ 스마트폰으로 즐기는 24시간 뉴스의 세계...YTN 어플리케이션[저작권자(c) YTN & Digital YTN. 무단 전재-재배포 금지]"
7,2012-07-08,고개 숙인 미7공군 조아스 사령관,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0005684755,연합뉴스,"(평택=연합뉴스) 신영근 기자 = 최근 한국 민간인에게 미 헌병 3명이 수갑을 채워 물의를 빚은 가운데 8일 오후 경기도 평택 K-55 부대에서 미7공군 사령관 잔-마크 조아스 중장이 고개를 숙여 인사하고 있다. 조아스 중장은 이번 사건에 대해 평택시민에게 사과하고 유감을 표명했다. 2012.7.8drops@yna.co.krhttp://blog.yonhapnews.co.kr/geenang[이 시각 많이 본 기사]☞내년 하반기 울산서 고래잡이 재개 가능성☞<한류스타 장근석, 아시아를 감전시키다>☞<금강산관광 중단 4년..벼랑끝 영세업체들>☞-US여자오픈골프- 최나연, 메이저 우승 눈앞(종합)☞방북 노수희씨·범민련 간부 구속영장 발부<연합뉴스 모바일앱 다운받기><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
8,2012-07-08,'아 시원하다',https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0005684576,연합뉴스,"(서울=연합뉴스) 한종찬 기자 = 무더운 날씨를 보인 8일 오전 서울 광화문 분수대에서 한 어린이가 물놀이를 즐기며 더위를 식히고 있다. 2012.7.8belltolls@yna.co.kr[이 시각 많이 본 기사]☞박원순 ""野, 치열한 과정 거쳐 하나 될 것""☞원더걸스, 투어 첫발..5천 팬 환호에 눈물☞내년 하반기 울산서 고래잡이 재개 가능성☞-US여자오픈골프- 최나연, 메이저 왕관에 성큼☞방북 노수희씨·범민련 간부 구속영장 발부<연합뉴스 모바일앱 다운받기><포토 매거진><저작권자(c)연합뉴스. 무단전재-재배포금지.>"
9,2012-07-08,캐치볼하는 문재인,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=003&aid=0004595746,뉴시스,"【고양=뉴시스】김기태 기자 = 민주통합당 대선주자인 문재인 상임고문이 8일 오전 경기 고양 국가대표야구훈련장을 찾아 원더스 이희성 선수와 캐치볼을 하고 있다.presskt@newsis.com★ 손 안에서 보는 세상, 모바일 뉴시스<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
